RELEASE_YEAR,TOTAL_SETS,AVG_PARTS,MEDIAN_PARTS,MAX_PARTS,SETS_OVER_1000_PARTS,PCT_OVER_1000
1989,138,88.8,32.000,918,0,0.0
1990,116,163.0,45.500,1534,2,1.7
1991,148,131.6,42.000,2195,2,1.4
1992,139,104.3,37.000,954,0,0.0
1993,138,125.8,41.500,925,0,0.0
1994,170,104.3,36.000,1346,2,1.2
1995,195,127.7,40.000,1730,2,1.0
1996,196,165.2,53.500,2542,4,2.0
1997,286,106.9,35.500,1417,3,1.0
1998,422,124.1,40.500,1712,5,1.2
1999,380,93.4,30.000,1406,1,0.3
2000,408,93.1,30.000,2882,5,1.2
2001,460,87.7,23.500,1868,5,1.1
2002,583,94.4,29.000,3116,6,1.0
2003,544,134.3,28.000,5255,13,2.4
2004,468,139.0,41.500,2986,13,2.8
2005,415,174.4,43.000,5462,16,3.9
2006,442,166.4,26.000,2000,15,3.4
2007,481,165.6,14.000,5198,19,4.0
2008,463,183.6,35.000,5922,14,3.0
2009,553,148.2,31.000,3261,13,2.4
2010,531,179.6,29.000,5200,20,3.8
2011,653,127.2,23.000,3152,16,2.5
2012,775,123.6,20.000,2772,17,2.2
2013,837,132.4,17.000,2989,22,2.6
2014,1053,124.4,25.000,3296,22,2.1
2015,1024,145.7,24.000,10001,25,2.4
2016,999,159.5,26.000,4642,30,3.0
2017,1108,161.6,12.000,7541,35,3.2
2018,1068,161.0,19.500,6020,34,3.2
2019,1107,174.0,15.000,4784,47,4.2
2020,1119,189.9,17.000,9036,50,4.5
2021,1221,217.5,12.000,11695,64,5.2
2022,1230,229.8,9.000,10001,75,6.1
2023,1158,261.1,24.000,6181,77,6.6
2024,1246,271.6,28.000,5500,91,7.3
2025,1252,296.5,34.000,9031,97,7.7
2026,550,277.6,36.000,6838,39,7.1
1949,5,96.4,126.000,178,0,0.0
1950,6,1.0,1.000,1,0,0.0
1953,4,12.5,1.000,48,0,0.0
1954,14,8.4,1.000,54,0,0.0
1955,39,12.4,7.000,59,0,0.0
1956,18,16.0,5.000,96,0,0.0
1957,24,34.3,8.000,238,0,0.0
1958,66,18.0,6.000,149,0,0.0
1959,4,14.3,17.500,21,0,0.0
1960,3,175.3,50.000,476,0,0.0
1961,25,94.9,9.000,785,0,0.0
1962,13,85.8,30.000,751,0,0.0
1963,61,67.3,35.000,468,0,0.0
1964,37,41.4,2.000,253,0,0.0
1965,27,50.5,14.000,304,0,0.0
1966,122,43.8,15.000,817,0,0.0
1967,30,113.6,44.500,712,0,0.0
1968,42,129.1,90.000,470,0,0.0
1969,75,71.9,23.000,798,0,0.0
1970,42,80.7,50.500,471,0,0.0
1971,57,91.3,55.000,917,0,0.0
1972,39,101.0,50.000,901,0,0.0
1973,72,100.3,54.500,665,0,0.0
1974,39,103.8,78.000,412,0,0.0
1975,41,134.8,82.000,596,0,0.0
1976,77,142.7,100.000,683,0,0.0
1977,114,77.1,15.000,608,0,0.0
1978,77,140.7,55.000,982,0,0.0
1979,93,96.9,56.000,512,0,0.0
1980,110,105.6,34.000,787,0,0.0
1981,84,93.8,24.000,775,0,0.0
1982,89,65.0,21.000,744,0,0.0
1983,75,93.7,27.000,570,0,0.0
1984,98,75.6,23.000,899,0,0.0
1985,177,103.3,32.000,1534,1,0.6
1986,165,93.6,38.000,668,0,0.0
1987,240,65.8,25.500,721,0,0.0
1988,85,122.1,56.000,898,0,0.0
