SET_NUM,SET_NAME,RELEASE_YEAR,THEME_ID,NUM_PARTS,SET_IMG_URL,SET_URL,LAST_MODIFIED_DT
8299-1,Search Sub [with CD],1997,1,379,https://cdn.rebrickable.com/media/sets/8299-1/771.jpg,https://rebrickable.com/sets/8299-1/search-sub-with-cd/,2020-09-23 18:51:15.047
8-3,Basic Set,1973,465,665,https://cdn.rebrickable.com/media/sets/8-3/135235.jpg,https://rebrickable.com/sets/8-3/basic-set/,2024-01-01 00:39:02.398
8300-1,TECHNIC Team,2000,19,7,https://cdn.rebrickable.com/media/sets/8300-1/124319.jpg,https://rebrickable.com/sets/8300-1/technic-team/,2023-06-07 04:50:01.626
830-1,"Parts Pack, Red Bricks",1980,473,46,https://cdn.rebrickable.com/media/sets/830-1/8322.jpg,https://rebrickable.com/sets/830-1/parts-pack-red-bricks/,2024-05-08 04:42:13.362
8301-1,Urban Enforcer,2011,112,45,https://cdn.rebrickable.com/media/sets/8301-1/48723.jpg,https://rebrickable.com/sets/8301-1/urban-enforcer/,2016-04-23 12:22:10.071
8302-1,Rod Rider,2011,112,48,https://cdn.rebrickable.com/media/sets/8302-1/16866.jpg,https://rebrickable.com/sets/8302-1/rod-rider/,2011-08-11 14:00:00.000
8303-1,Demon Destroyer,2011,112,51,https://cdn.rebrickable.com/media/sets/8303-1/48720.jpg,https://rebrickable.com/sets/8303-1/demon-destroyer/,2016-04-23 12:22:08.660
8304-1,Smokin' Slickster,2011,112,44,https://cdn.rebrickable.com/media/sets/8304-1/49481.jpg,https://rebrickable.com/sets/8304-1/smokin-slickster/,2016-04-23 12:22:08.257
8305-1,Duel Bikes,2000,3,208,https://cdn.rebrickable.com/media/sets/8305-1/124335.jpg,https://rebrickable.com/sets/8305-1/duel-bikes/,2016-11-05 11:04:10.456
830659002151-1,Brick Alarm Clock (Blue),2012,732,0,https://cdn.rebrickable.com/media/sets/830659002151-1/114701.jpg,https://rebrickable.com/sets/830659002151-1/brick-alarm-clock-blue/,2022-12-12 17:12:53.556
8307-1,Turbo Racer,2000,3,393,https://cdn.rebrickable.com/media/sets/8307-1/124336.jpg,https://rebrickable.com/sets/8307-1/turbo-racer/,2015-06-27 18:51:46.997
8310-1,Nick Bluetooth,2002,685,12,https://cdn.rebrickable.com/media/sets/8310-1/124317.jpg,https://rebrickable.com/sets/8310-1/nick-bluetooth/,2019-12-30 03:19:08.159
831-1,"Parts Pack, Black Bricks",1980,473,46,https://cdn.rebrickable.com/media/sets/831-1/16850.jpg,https://rebrickable.com/sets/831-1/parts-pack-black-bricks/,2024-05-08 04:42:05.863
8311-1,Gorm,2002,685,12,https://cdn.rebrickable.com/media/sets/8311-1/124334.jpg,https://rebrickable.com/sets/8311-1/gorm/,2019-12-30 03:21:58.826
8312-1,Jens,2002,685,13,https://cdn.rebrickable.com/media/sets/8312-1/124333.jpg,https://rebrickable.com/sets/8312-1/jens/,2019-12-30 03:21:29.839
8313-1,Nick Bluetooth Deluxe,2002,685,15,https://cdn.rebrickable.com/media/sets/8313-1/124327.jpg,https://rebrickable.com/sets/8313-1/nick-bluetooth-deluxe/,2019-12-30 03:16:54.093
8314-1,Gorm Deluxe,2002,685,16,https://cdn.rebrickable.com/media/sets/8314-1/124307.jpg,https://rebrickable.com/sets/8314-1/gorm-deluxe/,2019-12-30 03:17:15.515
8315-1,TDN Module,2002,685,9,https://cdn.rebrickable.com/media/sets/8315-1/124325.jpg,https://rebrickable.com/sets/8315-1/tdn-module/,2019-12-30 03:17:58.538
8316-1,Kek Powerizer,2002,685,9,https://cdn.rebrickable.com/media/sets/8316-1/124291.jpg,https://rebrickable.com/sets/8316-1/kek-powerizer/,2019-12-30 03:20:58.430
8317-1,Allegra,2002,685,11,https://cdn.rebrickable.com/media/sets/8317-1/124326.jpg,https://rebrickable.com/sets/8317-1/allegra/,2019-12-30 03:23:27.114
8318-1,Ooni,2002,685,29,https://cdn.rebrickable.com/media/sets/8318-1/124318.jpg,https://rebrickable.com/sets/8318-1/ooni/,2019-12-30 03:18:25.304
8319-1,Aquart,2002,685,11,https://cdn.rebrickable.com/media/sets/8319-1/10072.jpg,https://rebrickable.com/sets/8319-1/aquart/,2019-12-30 03:23:08.672
8320-1,Nepol Basic Figure,2002,685,10,https://cdn.rebrickable.com/media/sets/8320-1/124332.jpg,https://rebrickable.com/sets/8320-1/nepol-basic-figure/,2019-12-30 03:20:03.165
832-1,"Parts Pack, Blue Bricks",1980,473,46,https://cdn.rebrickable.com/media/sets/832-1/10800.jpg,https://rebrickable.com/sets/832-1/parts-pack-blue-bricks/,2024-05-08 04:41:57.495
8321-1,Nepol and Shimmel,2002,685,27,https://cdn.rebrickable.com/media/sets/8321-1/124290.jpg,https://rebrickable.com/sets/8321-1/nepol-and-shimmel/,2019-12-30 03:19:32.726
8322-1,Mokarr,2002,685,0,https://cdn.rebrickable.com/media/sets/8322-1/124178.jpg,https://rebrickable.com/sets/8322-1/mokarr/,2023-06-06 19:51:41.845
8324-1,Euripides,2002,685,10,https://cdn.rebrickable.com/media/sets/8324-1/124324.jpg,https://rebrickable.com/sets/8324-1/euripides/,2019-12-30 03:22:49.080
8325-1,Tager,2002,685,18,https://cdn.rebrickable.com/media/sets/8325-1/124308.jpg,https://rebrickable.com/sets/8325-1/tager/,2019-12-30 03:17:39.303
833-1,"Parts Pack, White Bricks",1980,473,46,https://cdn.rebrickable.com/media/sets/833-1/16875.jpg,https://rebrickable.com/sets/833-1/parts-pack-white-bricks/,2024-05-08 04:41:50.719
834-1,"Parts Pack, Yellow Bricks",1980,473,46,https://cdn.rebrickable.com/media/sets/834-1/16851.jpg,https://rebrickable.com/sets/834-1/parts-pack-yellow-bricks/,2024-05-08 04:41:42.093
8350-1,Pro-Stunt,2003,112,30,https://cdn.rebrickable.com/media/sets/8350-1/77375.jpg,https://rebrickable.com/sets/8350-1/pro-stunt/,2020-12-06 10:23:27.067
835-1,Advanced Builders Set,1966,756,0,https://cdn.rebrickable.com/media/sets/835-1/135647.jpg,https://rebrickable.com/sets/835-1/advanced-builders-set/,2024-01-08 21:58:26.162
8353-1,Slammer Rhino,2003,112,217,https://cdn.rebrickable.com/media/sets/8353-1/124293.jpg,https://rebrickable.com/sets/8353-1/slammer-rhino/,2011-08-11 14:00:00.000
8354-1,Exo Force Bike,2003,112,100,https://cdn.rebrickable.com/media/sets/8354-1/124328.jpg,https://rebrickable.com/sets/8354-1/exo-force-bike/,2016-04-23 11:44:26.031
8355-1,H.O.T. Blaster Bike,2003,112,87,https://cdn.rebrickable.com/media/sets/8355-1/124295.jpg,https://rebrickable.com/sets/8355-1/hot-blaster-bike/,2011-08-11 14:00:00.000
8356-1,Jungle Monster,2003,112,116,https://cdn.rebrickable.com/media/sets/8356-1/124321.jpg,https://rebrickable.com/sets/8356-1/jungle-monster/,2016-04-23 11:51:06.107
8357-1,Zonic Strike,2003,112,107,https://cdn.rebrickable.com/media/sets/8357-1/124297.jpg,https://rebrickable.com/sets/8357-1/zonic-strike/,2016-04-23 11:48:43.921
8358-1,Off-roader Bike,2003,112,26,https://cdn.rebrickable.com/media/sets/8358-1/77556.jpg,https://rebrickable.com/sets/8358-1/off-roader-bike/,2020-12-10 14:25:45.029
8359-1,Desert Racer,2003,112,27,https://cdn.rebrickable.com/media/sets/8359-1/124312.jpg,https://rebrickable.com/sets/8359-1/desert-racer/,2016-04-23 11:35:26.730
8360-1,Track Racer,2003,112,23,https://cdn.rebrickable.com/media/sets/8360-1/124296.jpg,https://rebrickable.com/sets/8360-1/track-racer/,2016-04-23 11:48:14.267
836-1,Doors and Windows Parts Pack,1980,473,37,https://cdn.rebrickable.com/media/sets/836-1/8324.jpg,https://rebrickable.com/sets/836-1/doors-and-windows-parts-pack/,2011-09-25 14:00:00.000
8362-1,Ferrari F1 Racer 1:24,2004,114,113,https://cdn.rebrickable.com/media/sets/8362-1/120360.jpg,https://rebrickable.com/sets/8362-1/ferrari-f1-racer-124/,2020-12-06 10:21:17.986
8363-1,Baja Desert Racers,2003,112,319,https://cdn.rebrickable.com/media/sets/8363-1/124329.jpg,https://rebrickable.com/sets/8363-1/baja-desert-racers/,2016-04-23 11:33:16.579
8364-1,Multi-Challenge Race Track,2003,112,624,https://cdn.rebrickable.com/media/sets/8364-1/76812.jpg,https://rebrickable.com/sets/8364-1/multi-challenge-race-track/,2020-12-10 14:25:02.853
8365-1,Tuneable Racer,2003,112,196,https://cdn.rebrickable.com/media/sets/8365-1/124306.jpg,https://rebrickable.com/sets/8365-1/tuneable-racer/,2014-08-14 19:10:43.858
8366-1,Supersonic RC,2003,122,429,https://cdn.rebrickable.com/media/sets/8366-1/124337.jpg,https://rebrickable.com/sets/8366-1/supersonic-rc/,2024-01-08 06:26:47.805
8369-1,Dirt Crusher RC,2004,122,88,https://cdn.rebrickable.com/media/sets/8369-1/124309.jpg,https://rebrickable.com/sets/8369-1/dirt-crusher-rc/,2024-01-08 06:22:53.264
8369-2,Dirt Crusher RC (Blue),2005,122,88,https://cdn.rebrickable.com/media/sets/8369-2/6337.jpg,https://rebrickable.com/sets/8369-2/dirt-crusher-rc-blue/,2024-01-08 06:22:48.728
8370-1,Nitro Stunt Bike,2003,112,89,https://cdn.rebrickable.com/media/sets/8370-1/124311.jpg,https://rebrickable.com/sets/8370-1/nitro-stunt-bike/,2011-08-11 14:00:00.000
837-1,Wheels and Tires Parts Pack,1980,473,28,https://cdn.rebrickable.com/media/sets/837-1/16855.jpg,https://rebrickable.com/sets/837-1/wheels-and-tires-parts-pack/,2011-09-25 14:00:00.000
8371-1,Extreme Power Bike,2003,112,98,https://cdn.rebrickable.com/media/sets/8371-1/124294.jpg,https://rebrickable.com/sets/8371-1/extreme-power-bike/,2011-08-11 14:00:00.000
8374-1,Williams F1 Team Racer 1:27,2003,112,93,https://cdn.rebrickable.com/media/sets/8374-1/120345.jpg,https://rebrickable.com/sets/8374-1/williams-f1-team-racer-127/,2024-01-08 06:21:01.583
8375-1,Ferrari F1 Pit Set,2004,114,218,https://cdn.rebrickable.com/media/sets/8375-1/124323.jpg,https://rebrickable.com/sets/8375-1/ferrari-f1-pit-set/,2016-04-23 11:44:05.826
8376-1,Hot Flame RC Car,2003,122,257,https://cdn.rebrickable.com/media/sets/8376-1/124314.jpg,https://rebrickable.com/sets/8376-1/hot-flame-rc-car/,2024-01-08 06:26:42.371
8378-1,Red Beast RC,2004,122,65,https://cdn.rebrickable.com/media/sets/8378-1/124313.jpg,https://rebrickable.com/sets/8378-1/red-beast-rc/,2024-01-08 06:23:19.545
8380-1,Red Maniac,2004,112,83,https://cdn.rebrickable.com/media/sets/8380-1/124320.jpg,https://rebrickable.com/sets/8380-1/red-maniac/,2016-04-23 11:33:47.625
838-1,"Red Roof Bricks Parts Pack, 45 Degree",1980,473,58,https://cdn.rebrickable.com/media/sets/838-1/8327.jpg,https://rebrickable.com/sets/838-1/red-roof-bricks-parts-pack-45-degree/,2011-09-25 14:00:00.000
8381-1,Exo Raider,2003,112,94,https://cdn.rebrickable.com/media/sets/8381-1/11047.jpg,https://rebrickable.com/sets/8381-1/exo-raider/,2016-04-23 11:33:57.404
8382-1,Hot Buster,2004,112,67,https://cdn.rebrickable.com/media/sets/8382-1/124310.jpg,https://rebrickable.com/sets/8382-1/hot-buster/,2016-04-23 11:33:46.960
8383-1,Nitro Terminator,2004,112,70,https://cdn.rebrickable.com/media/sets/8383-1/124322.jpg,https://rebrickable.com/sets/8383-1/nitro-terminator/,2016-04-23 11:34:00.386
8384-1,Jungle Crasher,2004,112,76,https://cdn.rebrickable.com/media/sets/8384-1/124316.jpg,https://rebrickable.com/sets/8384-1/jungle-crasher/,2016-04-23 11:33:51.780
8385-1,Exo Stealth,2004,112,81,https://cdn.rebrickable.com/media/sets/8385-1/124292.jpg,https://rebrickable.com/sets/8385-1/exo-stealth/,2016-04-23 11:33:48.275
8386-1,Ferrari F1 Racer 1:10,2004,114,719,https://cdn.rebrickable.com/media/sets/8386-1/120196.jpg,https://rebrickable.com/sets/8386-1/ferrari-f1-racer-110/,2022-02-09 06:02:36.622
8389-1,M. Schumacher and R. Barrichello,2004,114,24,https://cdn.rebrickable.com/media/sets/8389-1/120357.jpg,https://rebrickable.com/sets/8389-1/m-schumacher-and-r-barrichello/,2011-08-11 14:00:00.000
