RELEASE_YEAR,TOTAL_ACTIVE_THEMES,NEW_THEMES,RETURNING_THEMES,NEW_THEME_PCT
1989,22,2,20,9.1
1990,24,1,23,4.2
1991,24,3,21,12.5
1992,29,6,23,20.7
1993,27,2,25,7.4
1994,27,4,23,14.8
1995,32,7,25,21.9
1996,38,6,32,15.8
1997,37,10,27,27.0
1998,53,16,37,30.2
1999,53,11,42,20.8
2000,55,17,38,30.9
2001,59,13,46,22.0
2002,57,6,51,10.5
2003,66,16,50,24.2
2004,66,9,57,13.6
2005,63,9,54,14.3
2006,67,7,60,10.4
2007,68,5,63,7.4
2008,69,9,60,13.0
2009,77,7,70,9.1
2010,80,14,66,17.5
2011,78,11,67,14.1
2012,93,19,74,20.4
2013,99,15,84,15.2
2014,100,12,88,12.0
2015,102,15,87,14.7
2016,102,12,90,11.8
2017,93,6,87,6.5
2018,96,13,83,13.5
2019,93,9,84,9.7
2020,97,11,86,11.3
2021,95,8,87,8.4
2022,91,6,85,6.6
2023,101,7,94,6.9
2024,103,9,94,8.7
2025,106,7,99,6.6
2026,74,5,69,6.8
1949,2,2,0,100.0
1950,1,0,1,0.0
1953,2,0,2,0.0
1954,2,1,1,50.0
1955,6,3,3,50.0
1956,4,1,3,25.0
1957,5,0,5,0.0
1958,5,0,5,0.0
1959,3,0,3,0.0
1960,3,1,2,33.3
1961,7,1,6,14.3
1962,3,0,3,0.0
1963,7,1,6,14.3
1964,6,1,5,16.7
1965,8,1,7,12.5
1966,9,2,7,22.2
1967,6,0,6,0.0
1968,7,0,7,0.0
1969,10,4,6,40.0
1970,16,10,6,62.5
1971,11,1,10,9.1
1972,12,3,9,25.0
1973,17,2,15,11.8
1974,14,1,13,7.1
1975,16,3,13,18.8
1976,23,3,20,13.0
1977,22,5,17,22.7
1978,16,3,13,18.8
1979,13,4,9,30.8
1980,19,1,18,5.3
1981,15,0,15,0.0
1982,17,0,17,0.0
1983,17,2,15,11.8
1984,20,3,17,15.0
1985,23,2,21,8.7
1986,24,3,21,12.5
1987,23,3,20,13.0
1988,22,3,19,13.6
