RELEASE_YEAR,THEME_NAME,SETS_RELEASED,TOTAL_SETS,PCT_OF_YEAR,THEME_RANK,CUMULATIVE_PCT
2010,Make & Create,1,531,0.19,65,100.01
2010,Collectible Minifigures,1,531,0.19,65,100.01
2010,Modular Buildings,1,531,0.19,65,100.01
2010,Harbor,1,531,0.19,65,100.01
2010,Legoland Parks,1,531,0.19,65,100.01
2010,Promotional,1,531,0.19,65,100.01
2010,Stationery and Office Supplies,1,531,0.19,65,100.01
2010,Value Packs,1,531,0.19,65,100.01
2010,FIRST LEGO League,1,531,0.19,65,100.01
2010,Castle,1,531,0.19,65,100.01
2010,Service Packs,1,531,0.19,65,100.01
2010,Database Sets,1,531,0.19,65,100.01
2010,Pirates II,1,531,0.19,65,100.01
2010,Non-fiction Books,1,531,0.19,65,100.01
2010,Valentine,1,531,0.19,65,100.01
2010,Thanksgiving,1,531,0.19,65,100.01
2011,Ninjago,43,653,6.58,1,6.58
2011,Star Wars,33,653,5.05,2,16.68
2011,Key Chain,33,653,5.05,2,16.68
2011,Video Games and Accessories,32,653,4.90,4,21.58
2011,Cars,24,653,3.68,5,25.26
2011,Clocks and Watches,22,653,3.37,6,28.63
2011,Series 5 Minifigures,19,653,2.91,7,40.27
2011,Town,19,653,2.91,7,40.27
2011,Series 4 Minifigures,19,653,2.91,7,40.27
2011,Series 3 Minifigures,19,653,2.91,7,40.27
2011,Pirates of the Caribbean,16,653,2.45,11,42.72
2011,Heroes,15,653,2.30,12,49.62
2011,Games,15,653,2.30,12,49.62
2011,Gear,15,653,2.30,12,49.62
2011,LEGO Brand Store,14,653,2.14,15,51.76
2011,Monthly Mini Model Build,13,653,1.99,16,59.72
2011,Houseware,13,653,1.99,16,59.72
2011,Police,13,653,1.99,16,59.72
2011,Christmas,13,653,1.99,16,59.72
2011,Stationery and Office Supplies,11,653,1.68,20,66.44
2011,Activity Books,11,653,1.68,20,66.44
2011,Technic,11,653,1.68,20,66.44
2011,Magnets,11,653,1.68,20,66.44
2011,Alien Conquest,10,653,1.53,24,71.03
2011,Villains,10,653,1.53,24,71.03
2011,Activity Books with LEGO Parts,10,653,1.53,24,71.03
2011,Racers,9,653,1.38,27,77.93
2011,Pharaoh's Quest,9,653,1.38,27,77.93
2011,Storage,9,653,1.38,27,77.93
2011,Bricks & More,9,653,1.38,27,77.93
2011,Creator 3-in-1,9,653,1.38,27,77.93
2011,Other,8,653,1.23,32,80.39
2011,Harry Potter,8,653,1.23,32,80.39
2011,Story Books,7,653,1.07,34,83.60
2011,Creator,7,653,1.07,34,83.60
2011,NXT,7,653,1.07,34,83.60
2011,City,6,653,0.92,37,85.44
2011,Harbor,6,653,0.92,37,85.44
2011,Master Builder Academy,5,653,0.77,39,90.06
2011,Atlantis,5,653,0.77,39,90.06
2011,Role Play Toys and Costumes,5,653,0.77,39,90.06
2011,Non-fiction Books,5,653,0.77,39,90.06
2011,Architecture,5,653,0.77,39,90.06
2011,Basic Set,5,653,0.77,39,90.06
2011,Hero Factory,4,653,0.61,45,91.89
2011,Bricktober,4,653,0.61,45,91.89
2011,Kingdoms,4,653,0.61,45,91.89
2011,Creator Expert,3,653,0.46,48,94.19
2011,Winnie the Pooh,3,653,0.46,48,94.19
2011,Seasonal,3,653,0.46,48,94.19
2011,Halloween,3,653,0.46,48,94.19
2011,LEGO Exclusive,3,653,0.46,48,94.19
2011,Super Heroes DC,2,653,0.31,53,97.91
2011,Easter,2,653,0.31,53,97.91
2011,SpongeBob SquarePants,2,653,0.31,53,97.91
2011,Educational and Dacta,2,653,0.31,53,97.91
2011,Duplo,2,653,0.31,53,97.91
2011,"Bags, Totes, & Luggage",2,653,0.31,53,97.91
2011,Power Functions,2,653,0.31,53,97.91
2011,Valentine,2,653,0.31,53,97.91
2011,Batman,2,653,0.31,53,97.91
2011,Trains,2,653,0.31,53,97.91
2011,Audio and Visual Media,2,653,0.31,53,97.91
2011,WeDo,2,653,0.31,53,97.91
2011,Mindstorms,1,653,0.15,65,100.01
2011,Supplemental,1,653,0.15,65,100.01
2011,Modular Buildings,1,653,0.15,65,100.01
2011,LEGO Ideas and CUUSOO,1,653,0.15,65,100.01
2011,Ultimate Collector Series,1,653,0.15,65,100.01
2011,Database Sets,1,653,0.15,65,100.01
2011,FIRST LEGO League,1,653,0.15,65,100.01
2011,Ideas Books,1,653,0.15,65,100.01
2011,Superman,1,653,0.15,65,100.01
2011,Promotional,1,653,0.15,65,100.01
2011,Tabletop Games and Puzzles,1,653,0.15,65,100.01
2011,Airport,1,653,0.15,65,100.01
2011,Serious Play,1,653,0.15,65,100.01
2011,Plush Toys,1,653,0.15,65,100.01
2012,Ninjago,47,775,6.06,1,6.06
2012,Star Wars,42,775,5.42,2,11.48
2012,Key Chain,36,775,4.65,3,16.13
2012,Friends,34,775,4.39,4,20.52
2012,Storage,22,775,2.84,5,23.36
2012,Stationery and Office Supplies,21,775,2.71,6,26.07
