PARENT_THEME,NUM_SUB_THEMES,MAX_DEPTH,DIRECT_CHILDREN,TOTAL_SETS_IN_TREE
Mindstorms,4,1,4,85
Universal Building Set,4,1,4,414
Sports,4,1,4,174
Adventurers,4,1,4,83
Racers,4,1,4,283
LEGO Brand Store,3,1,3,440
Pirates,3,1,3,92
The Hobbit and Lord of the Rings,2,1,2,41
4 Juniors,2,1,2,54
Alpha Team,2,1,2,32
Hero Factory,2,1,2,111
Service Packs,2,1,2,504
Legends of Chima,2,1,2,144
Bionicle,2,1,2,468
Sculptures,1,1,1,10
Make & Create,1,1,1,119
Studios,1,1,1,55
Harry Potter,1,1,1,200
The LEGO Movie,1,1,1,74
Star Wars,1,1,1,1073
Ninjago,1,1,1,658
Modular Buildings,1,1,1,22
Agents,1,1,1,28
Other,1,1,1,300
Architecture,1,1,1,64
Power Functions,1,1,1,34
Collectible Minifigures,51,1,51,988
Duplo,38,2,27,1446
Space,20,1,20,333
Seasonal,20,2,7,524
Educational and Dacta,20,2,14,1099
City,17,1,17,1002
Gear,15,1,15,5230
Town,14,1,14,678
Castle,14,1,14,271
Legoland,13,1,13,160
Technic,8,1,8,592
Super Heroes Marvel,8,2,7,391
Juniors,8,1,8,68
Books,6,1,6,1411
Disney,6,1,6,257
Aquazone,6,1,6,37
Creator,6,1,6,625
Promotional,5,1,5,327
System,5,1,5,498
Train,5,1,5,244
Super Heroes DC,5,2,3,255
