THEME_ID,THEME_NAME,PARENT_THEME,FIRST_YEAR,LATEST_YEAR,LIFESPAN_YEARS,TOTAL_SETS,AVG_PARTS,STATUS
541,Series 6 Minifigures,Collectible Minifigures,2012,2012,1,19,6.1,Retired
433,Minitalia,,1970,1977,8,19,93.5,Retired
635,Winnie the Pooh,Disney,1999,2025,27,19,21.2,Active
550,The Simpsons Series 1,Collectible Minifigures,2014,2014,1,19,4.7,Retired
480,Znap,,1998,1999,2,19,89.8,Retired
548,Series 12 Minifigures,Collectible Minifigures,2014,2014,1,19,6.2,Retired
553,The Simpsons Series 2,Collectible Minifigures,2015,2015,1,19,4.9,Retired
557,DFB Minifigures,Collectible Minifigures,2016,2016,1,19,5.1,Retired
611,Series 17 Minifigures,Collectible Minifigures,2017,2017,1,19,6.1,Retired
552,Series 14 Minifigures,Collectible Minifigures,2015,2015,1,19,5.4,Retired
298,Dino Island,Adventurers,2000,2000,1,19,93.6,Retired
536,Series 1 Minifigures,Collectible Minifigures,2010,2010,1,19,5.8,Retired
543,Series 8 Minifigures,Collectible Minifigures,2012,2012,1,19,6.3,Retired
640,Disney Princess,Disney,2012,2025,14,19,41.9,Active
438,Power Functions,,2008,2013,6,19,2.1,Retired
551,Series 13 Minifigures,Collectible Minifigures,2015,2015,1,19,6.1,Retired
542,Series 7 Minifigures,Collectible Minifigures,2012,2012,1,19,6.3,Retired
540,Series 5 Minifigures,Collectible Minifigures,2011,2011,1,19,5.6,Retired
539,Series 4 Minifigures,Collectible Minifigures,2011,2011,1,19,6.0,Retired
547,Series 11 Minifigures,Collectible Minifigures,2013,2014,2,19,5.8,Retired
646,Xtra,,2018,2021,4,19,24.6,Declining
537,Series 2 Minifigures,Collectible Minifigures,2010,2010,1,19,5.8,Retired
538,Series 3 Minifigures,Collectible Minifigures,2011,2011,1,19,5.8,Retired
554,Series 15 Minifigures,Collectible Minifigures,2016,2016,1,19,6.4,Retired
692,Series 20 Minifigures,Collectible Minifigures,2020,2020,1,19,6.7,Declining
684,DC Super Heroes,Collectible Minifigures,2020,2020,1,19,7.8,Declining
461,Hockey,Sports,2003,2004,2,19,66.3,Retired
