THEME_NAME,SET_COUNT,AVG_PARTS,FIRST_YEAR,LATEST_YEAR
DFB Minifigures,19,5.052632,2016,2016
Winnie the Pooh,19,21.157895,1999,2025
Series 2 Minifigures,19,5.789474,2010,2010
Series 12 Minifigures,19,6.210526,2014,2014
Series 15 Minifigures,19,6.368421,2016,2016
Znap,19,89.789474,1998,1999
Series 17 Minifigures,19,6.105263,2017,2017
Series 9 Minifigures,19,5.578947,2013,2013
Futuron,19,128.894737,1987,1990
Minitalia,19,93.526316,1970,1977
Series 16 Minifigures,19,6.473684,2016,2016
Series 20 Minifigures,19,6.684211,2020,2020
Series 13 Minifigures,19,6.105263,2015,2015
The Simpsons Series 2,19,4.894737,2015,2015
Power Functions,19,2.052632,2008,2013
Hockey,19,66.315789,2003,2004
Harry Potter and Fantastic Beasts Series 2,19,6.789474,2020,2020
Xtra,19,24.631579,2018,2021
The Simpsons Series 1,19,4.684211,2014,2014
Series 7 Minifigures,19,6.263158,2012,2012
Dino Island,19,93.631579,2000,2000
UFO,19,75.210526,1997,1999
Series 5 Minifigures,19,5.578947,2011,2011
DC Super Heroes,19,7.789474,2020,2020
Series 8 Minifigures,19,6.263158,2012,2012
Mickey & Friends,19,43.842105,2012,2026
Series 11 Minifigures,19,5.842105,2013,2014
Series 3 Minifigures,19,5.789474,2011,2011
Series 1 Minifigures,19,5.789474,2010,2010
Series 14 Minifigures,19,5.421053,2015,2015
Series 4 Minifigures,19,6.000000,2011,2011
Insectoids,19,84.789474,1998,1999
Series 6 Minifigures,19,6.105263,2012,2012
Paradisa,18,132.555556,1992,1997
Cities of Wonders,18,176.833333,2017,2017
Animal Crossing,18,263.555556,2024,2026
Thomas & Friends,18,24.500000,2005,2009
Competition,18,292.944444,1998,2001
Pirates of the Caribbean,18,372.611111,2011,2025
The Lord of the Rings,18,429.500000,2012,2013
Space Police III,17,249.764706,2009,2010
Rock Raiders,17,83.411765,1999,2000
Marvel Series 2,17,7.411765,2023,2023
Spider-Man - Across the Spider-Verse,17,5.470588,2025,2025
Mission Deep Sea,17,85.058824,2002,2003
Kingdoms,17,290.235294,2010,2012
Throwbot Slizer,17,46.529412,1999,2000
Dinosaurs,17,25.294118,2001,2001
Formula 1,17,20.470588,2025,2025
Ferries,17,235.000000,1977,2019
Airlines,16,60.375000,1976,2015
Series 27 Minifigures,16,6.500000,2025,2025
Marvel Series 1,16,7.562500,2021,2021
Series 23 Minifigures,16,6.312500,2022,2022
Series 26 Minifigures,16,6.750000,2024,2024
Dungeons & Dragons,16,7.062500,2024,2024
Model Team,16,683.000000,1986,2004
Justice League,16,331.375000,2014,2018
The Muppets,16,5.375000,2022,2022
Series 22 Minifigures,16,7.062500,2022,2022
Series 21 Minifigures,16,6.187500,2021,2021
Little Robots,16,12.437500,2003,2004
Race,16,76.125000,2000,2001
Constraction,16,53.437500,2013,2014
Series 24 Minifigures,16,6.312500,2023,2023
Looney Tunes,16,5.687500,2021,2021
Guardians of the Galaxy,16,255.187500,2014,2024
Spidey and His Amazing Friends,16,124.562500,2022,2026
Fright Knights,16,92.875000,1997,1998
Series 25 Minifigures,16,6.500000,2024,2024
Series 29 Minifigures,16,0.000000,2026,2026
Series 28 Minifigures,16,5.625000,2026,2026
Powered Up,15,1.533333,2018,2025
Pirates II,15,247.133333,2009,2013
Ultra Agents,15,422.066667,2014,2015
Superman,15,102.066667,2011,2025
Marvel,14,99.357143,2015,2026
Monster Fighters,14,392.071429,2012,2012
Mickey Mouse,14,115.571429,2000,2025
SpongeBob SquarePants,14,313.428571,2006,2012
Black Knights,14,144.071429,1988,1998
Blacktron II,14,103.857143,1991,1993
Skylines,14,520.571429,2016,2022
Dragon Knights,13,112.076923,1993,1998
Overwatch,13,262.615385,2018,2019
Island Xtreme Stunts,13,81.076923,2002,2003
EV3,13,49.923077,2013,2013
Editions,13,333.846154,2026,2026
Playsets,13,373.769231,2005,2007
Agents,13,434.076923,2008,2009
Toolo,13,29.384615,1992,1996
Dino Attack / Dino 2010,12,231.250000,2005,2006
Galaxy Squad,12,365.083333,2013,2013
Team GB,12,5.250000,2012,2012
Divers,12,192.916667,1997,1998
DC Super Hero Girls,12,308.833333,2016,2017
Off-Road,12,162.166667,2012,2025
Mars Exploration,12,267.083333,2019,2020
Peppa Pig,11,45.272727,2024,2026
Captain America,11,232.181818,2014,2024
