THEME_NAME,SIZE_CATEGORY,SET_COUNT,PCT_OF_THEME
Legends of Chima,Small,65,66.3
Legends of Chima,Medium,29,29.6
Legends of Chima,Large,3,3.1
Legends of Chima,Flagship,1,1.0
Legoland Parks,Small,43,74.1
Legoland Parks,Medium,14,24.1
Legoland Parks,Large,1,1.7
Legoville,Small,77,100.0
Life On Mars,Small,23,88.5
Life On Mars,Medium,3,11.5
Lightyear,Medium,2,66.7
Lightyear,Small,1,33.3
Lion Knights,Small,21,80.8
Lion Knights,Medium,5,19.2
Little Forest Friends,Small,10,100.0
Little Robots,Small,16,100.0
Looney Tunes,Small,16,100.0
M:Tron,Small,6,66.7
M:Tron,Medium,3,33.3
Magnets,Small,141,100.0
Make & Create,Medium,26,51.0
Make & Create,Small,16,31.4
Make & Create,Large,8,15.7
Make & Create,Flagship,1,2.0
Mars Exploration,Small,6,50.0
Mars Exploration,Medium,4,33.3
Mars Exploration,Large,2,16.7
Mars Mission,Medium,11,52.4
Mars Mission,Small,10,47.6
Marvel,Small,10,71.4
Marvel,Medium,4,28.6
Marvel Series 1,Small,16,100.0
Marvel Series 2,Small,17,100.0
Marvel Super Heroes,Small,4,100.0
Master Builder Academy,Small,12,57.1
Master Builder Academy,Medium,9,42.9
McDonalds,Small,20,100.0
Mickey & Friends,Small,19,100.0
Mickey Mouse,Small,13,92.9
Mickey Mouse,Medium,1,7.1
Miles From Tomorrowland,Small,3,100.0
Mindstorms,Small,21,72.4
Mindstorms,Large,5,17.2
Mindstorms,Medium,3,10.3
Minecraft,Medium,96,49.7
Minecraft,Small,86,44.6
Minecraft,Large,10,5.2
Minecraft,Flagship,1,0.5
Mini,Large,1,100.0
Minions,Small,7,77.8
Minions,Large,1,11.1
Minions,Medium,1,11.1
Minitalia,Small,17,89.5
Minitalia,Medium,2,10.5
Mission Deep Freeze,Medium,5,62.5
Mission Deep Freeze,Small,3,37.5
Mission Deep Sea,Small,16,94.1
Mission Deep Sea,Medium,1,5.9
Mixels,Small,123,100.0
Model Team,Medium,13,81.3
Model Team,Large,3,18.8
Modular Buildings,Flagship,20,95.2
Modular Buildings,Large,1,4.8
Modulex,Small,34,97.1
Modulex,Medium,1,2.9
Monkie Kid,Medium,24,41.4
Monkie Kid,Large,22,37.9
Monkie Kid,Small,8,13.8
Monkie Kid,Flagship,4,6.9
Monster Fighters,Small,7,50.0
Monster Fighters,Medium,5,35.7
Monster Fighters,Large,1,7.1
Monster Fighters,Flagship,1,7.1
Monthly Mini Model Build,Small,153,100.0
Mosaic,Flagship,5,71.4
Mosaic,Medium,2,28.6
My Town,Small,11,100.0
NXT,Small,47,88.7
NXT,Medium,5,9.4
NXT,Large,1,1.9
Nexo Knights,Small,79,71.8
Nexo Knights,Medium,27,24.5
Nexo Knights,Large,4,3.6
Nike,Large,3,60.0
Nike,Medium,1,20.0
Nike,Small,1,20.0
Ninja,Small,28,87.5
Ninja,Medium,4,12.5
Ninjago,Small,426,67.9
Ninjago,Medium,150,23.9
Ninjago,Large,44,7.0
Ninjago,Flagship,7,1.1
Non-fiction Books,Small,183,100.0
Off-Road,Small,7,58.3
Off-Road,Medium,5,41.7
One Piece,Large,2,28.6
One Piece,Medium,2,28.6
One Piece,Small,2,28.6
One Piece,Flagship,1,14.3
Orient Expedition,Small,25,89.3
