THEME_NAME,RELEASE_YEAR,SETS_RELEASED,AVG_PARTS,PREV_YEAR_SETS,YOY_CHANGE,YOY_PCT_CHANGE
12V,1969,12,44.8,,,
12V,1970,4,63.8,12,-8,-66.7
12V,1972,1,151.0,4,-3,-75.0
12V,1974,6,71.5,1,5,500.0
12V,1976,1,288.0,6,-5,-83.3
12V,1977,1,134.0,1,0,0.0
12V,1980,16,124.9,1,15,1500.0
12V,1981,2,254.5,16,-14,-87.5
12V,1983,5,241.6,2,3,150.0
12V,1985,2,627.5,5,-3,-60.0
12V,1986,3,315.3,2,1,50.0
4 Juniors,2003,10,53.9,,,
4 Juniors,2004,13,31.8,10,3,30.0
4.5V,1966,12,73.3,,,
4.5V,1967,4,119.8,12,-8,-66.7
4.5V,1968,7,145.9,4,3,75.0
4.5V,1969,13,106.4,7,6,85.7
4.5V,1970,2,30.5,13,-11,-84.6
4.5V,1971,1,38.0,2,-1,-50.0
4.5V,1972,9,86.1,1,8,800.0
4.5V,1975,6,161.2,9,-3,-33.3
4.5V,1976,8,98.1,6,2,33.3
4.5V,1977,2,169.0,8,-6,-75.0
4.5V,1978,4,143.5,2,2,100.0
4.5V,1980,12,165.3,4,8,200.0
4.5V,1983,4,269.5,12,-8,-66.7
4.5V,1985,4,307.8,4,0,0.0
9V,1991,12,229.4,,,
9V,1992,5,0.0,12,-7,-58.3
9V,1993,3,306.0,5,-2,-40.0
9V,1994,3,274.0,3,0,0.0
9V,1995,2,338.0,3,-1,-33.3
9V,1996,4,627.8,2,2,100.0
9V,1997,1,383.0,4,-3,-75.0
9V,1998,2,154.5,1,1,100.0
9V,1999,8,271.3,2,6,300.0
9V,2001,38,69.7,8,30,375.0
9V,2002,16,177.9,38,-22,-57.9
9V,2003,2,0.0,16,-14,-87.5
9V,2004,2,204.5,2,0,0.0
9V,2005,1,366.0,2,-1,-50.0
9V,2006,2,26.0,1,1,100.0
9V,2007,1,0.0,2,-1,-50.0
Action Wheelers,2000,6,26.0,,,
Action Wheelers,2001,3,17.3,6,-3,-50.0
Activity Books,1986,1,0.0,,,
Activity Books,2003,1,0.0,1,0,0.0
Activity Books,2006,4,0.0,1,3,300.0
Activity Books,2009,1,0.0,4,-3,-75.0
Activity Books,2011,11,0.0,1,10,1000.0
Activity Books,2012,14,0.0,11,3,27.3
Activity Books,2013,12,0.0,14,-2,-14.3
Activity Books,2014,22,0.0,12,10,83.3
Activity Books,2015,13,0.0,22,-9,-40.9
Activity Books,2016,19,0.0,13,6,46.2
Activity Books,2017,17,0.0,19,-2,-10.5
Activity Books,2018,15,0.0,17,-2,-11.8
Activity Books,2019,12,0.0,15,-3,-20.0
Activity Books,2020,22,0.0,12,10,83.3
Activity Books,2021,18,0.0,22,-4,-18.2
Activity Books,2022,15,0.0,18,-3,-16.7
Activity Books,2023,26,0.0,15,11,73.3
Activity Books,2024,11,0.8,26,-15,-57.7
Activity Books,2025,9,0.0,11,-2,-18.2
Activity Books,2026,2,3.5,9,-7,-77.8
Activity Books with LEGO Parts,2009,2,151.5,,,
Activity Books with LEGO Parts,2010,4,43.8,2,2,100.0
Activity Books with LEGO Parts,2011,10,61.2,4,6,150.0
Activity Books with LEGO Parts,2012,11,31.1,10,1,10.0
Activity Books with LEGO Parts,2013,16,34.1,11,5,45.5
Activity Books with LEGO Parts,2014,14,11.3,16,-2,-12.5
Activity Books with LEGO Parts,2015,21,19.5,14,7,50.0
Activity Books with LEGO Parts,2016,27,22.9,21,6,28.6
Activity Books with LEGO Parts,2017,21,16.3,27,-6,-22.2
Activity Books with LEGO Parts,2018,23,14.7,21,2,9.5
Activity Books with LEGO Parts,2019,35,17.1,23,12,52.2
Activity Books with LEGO Parts,2020,33,13.7,35,-2,-5.7
Activity Books with LEGO Parts,2021,46,13.6,33,13,39.4
Activity Books with LEGO Parts,2022,39,6.1,46,-7,-15.2
Activity Books with LEGO Parts,2023,43,9.7,39,4,10.3
Activity Books with LEGO Parts,2024,43,14.7,43,0,0.0
Activity Books with LEGO Parts,2025,23,11.9,43,-20,-46.5
Activity Books with LEGO Parts,2026,31,2.0,23,8,34.8
Advent,1999,1,229.0,,,
Advent,2000,1,241.0,1,0,0.0
Advent,2016,1,250.0,1,0,0.0
Advent,2017,1,254.0,1,0,0.0
Advent,2025,1,300.0,1,0,0.0
Agents,2008,8,488.1,,,
Agents,2009,5,347.6,8,-3,-37.5
Airlines,1976,1,45.0,,,
Airlines,1977,1,46.0,1,0,0.0
Airlines,1987,2,70.0,1,1,100.0
Airlines,1988,1,98.0,2,-1,-50.0
Airlines,1989,1,139.0,1,0,0.0
Airlines,1992,2,66.0,1,1,100.0
Airlines,1994,1,29.0,2,-1,-50.0
Airlines,1996,1,29.0,1,0,0.0
Airlines,1998,1,32.0,1,0,0.0
Airlines,2001,2,80.0,1,1,100.0
