RELEASE_YEAR,TOTAL_SETS,AVG_PARTS
1989,138,88.775362
1990,116,163.017241
1991,148,131.587838
1992,139,104.323741
1993,138,125.840580
1994,170,104.347059
1995,195,127.656410
1996,196,165.224490
1997,286,106.891608
1998,422,124.144550
1999,380,93.428947
2000,408,93.075980
2001,460,87.706522
2002,583,94.418525
2003,544,134.275735
2004,468,139.038462
2005,415,174.375904
2006,442,166.357466
2007,481,165.625780
2008,463,183.630670
2009,553,148.229656
2010,531,179.642185
2011,653,127.241960
2012,775,123.647742
2013,837,132.384707
2014,1053,124.440646
2015,1024,145.735352
2016,999,159.488488
2017,1108,161.580325
2018,1068,160.985955
2019,1107,174.023487
2020,1119,189.884718
2021,1221,217.504505
2022,1230,229.816260
2023,1158,261.080311
2024,1246,271.573034
2025,1252,296.463259
2026,550,277.560000
1949,5,96.400000
1950,6,1.000000
1953,4,12.500000
1954,14,8.357143
1955,39,12.435897
1956,18,16.000000
1957,24,34.291667
1958,66,18.015152
1959,4,14.250000
1960,3,175.333333
1961,25,94.880000
1962,13,85.846154
1963,61,67.295082
1964,37,41.405405
1965,27,50.518519
1966,122,43.803279
1967,30,113.566667
1968,42,129.071429
1969,75,71.920000
1970,42,80.690476
1971,57,91.280702
1972,39,101.025641
1973,72,100.263889
1974,39,103.794872
1975,41,134.780488
1976,77,142.662338
1977,114,77.122807
1978,77,140.740260
1979,93,96.913978
1980,110,105.636364
1981,84,93.785714
1982,89,64.955056
1983,75,93.746667
1984,98,75.561224
1985,177,103.288136
1986,165,93.593939
1987,240,65.820833
1988,85,122.129412
